# Expression Atlas version: 0.1.4-SNAPSHOT
# Query: Genes matching: '' exactly, specifically expressed in any Developmental stage above the expression level cutoff: -0.1 in experiment E-MTAB-2812, filtered by Sex: hermaphrodite and Organism part: organism
# Timestamp: Tue, 28-Apr-2015 03:38:09
Gene ID	Gene Name	3-fold embryo Ce	4-cell embryo Ce	L1 larva Ce	L2 larva Ce	L2d-dauer molt Ce	L3 larva Ce	L4 larva Ce	adult Ce	dauer larva Ce	elongating embryo Ce	enclosing embryo Ce	fully-elongated embryo Ce	gastrulating embryo Ce	late cleavage stage embryo Ce	newly molted young adult hermaphrodite Ce	post dauer stage Ce	proliferating embryo Ce
WBGene00022094	Y69A2AR.23	0	0	0.1	0	0	1	5	0.8	0	0	0.6	0	0.5	0.1	2	0	0.1
WBGene00022095	Y69A2AR.24	0	0	0	0	0	0.4	4	0.1	0	0	0.1	0	0	0	0.3	0	0
WBGene00022096	Y69A2AR.25	0	0	0	0	0	0.4	0.8	0.2	0	0	0.1	0.3	0	0	1	0	0
WBGene00022097	nhr-242	0	0	0	0	0	0	0	0	0.1	0.1	0	0.1	0.1	0.1	0.1	0	0
WBGene00022099	Y69A2AR.28	81	48	2	30	23	19	19	59	11	196	803	34	642	284	22	24	230
WBGene00022100	Y69A2AR.31	25	0.7	54	14	8	7	2	2	5	8	0.6	25	1	3	1	3	4
WBGene00022101	Y69A2AR.32	2	3	2	1	2	14	3	13	3	3	4	2	5	3	7	3	6
WBGene00022102	Y69F12A.1	0	0	0.2	0.1	0.1	1	2	1	0.1	0.1	0.1	0.3	0.9	0.1	1	0	0
WBGene00022103	cdh-12	4	0.4	2	49	2	23	4	0.8	0.6	8	0.7	4	2	7	0.7	0.5	3
WBGene00022104	Y71D11A.3	5	0	3	4	1	9	2	1	0.7	15	13	3	6	26	3	0.9	4
WBGene00022106	lgc-46	0.7	0.1	8	6	5	1	0.9	0.3	3	0	0.2	6	0.1	0.3	0.6	3	0.7
WBGene00022107	Y71F9AL.1	10	9	2	6	5	9	4	11	9	10	9	7	9	14	14	6	11
WBGene00022108	Y71F9AL.2	1	0.1	0.8	0	0.1	3	4	3	0.5	2	0.4	2	0.7	2	3	0.3	0.9
WBGene00022110	Y71F9AL.4	0.9	1	1	0.9	1	3	2	6	3	1	2	2	2	1	3	2	2
WBGene00022111	Y71F9AL.6	1	0.6	0.4	0.8	0.4	0.3	0.2	1	0.5	9	92	3	49	17	0.6	0.9	12
WBGene00022112	Y71F9AL.7	6	1	2	0.7	0.3	0.2	0.1	6	0.3	22	418	7	161	74	0.4	0.2	33
WBGene00022113	Y71F9AL.8	5	4	5	3	7	6	3	14	13	2	0.5	3	2	2	15	7	4
WBGene00022114	Y71F9AL.9	459	97	244	263	154	273	121	188	168	539	461	290	329	774	143	216	210
WBGene00022115	Y71F9AL.10	21	16	40	14	30	11	8	28	40	14	4	19	6	9	13	21	25
WBGene00022116	Y71F9AL.11	0	0.3	2	0.2	0	0.2	0.7	0.1	0.3	0	0.4	0.5	0.3	0.3	0	0.3	0
WBGene00022117	Y71F9AL.12	19	19	2	16	17	22	12	31	25	32	44	16	54	30	52	20	37
WBGene00022118	dnc-5	24	17	7	16	18	17	21	24	18	42	103	23	88	65	24	18	31
WBGene00022119	copa-1	133	21	20	98	48	120	34	83	31	127	16	99	33	162	55	41	62
WBGene00022121	cogc-3	20	15	3	18	11	20	8	26	11	17	5	16	10	15	17	10	17
WBGene00022122	trap-1	468	144	166	288	86	261	226	175	49	502	369	249	329	708	182	135	277
WBGene00022123	Y71F9AR.2	54	0.6	3	3	3	3	2	1	2	43	7	19	6	20	2	3	6
WBGene00022124	supr-1	8	8	20	7	5	5	3	11	11	8	1	7	4	8	10	7	8
WBGene00022125	Y71F9B.1	5	0	2	10	25	14	9	8	7	26	19	5	16	29	14	13	7
WBGene00022126	Y71F9B.2	10	13	4	10	14	12	9	15	14	13	8	9	16	13	21	12	12
WBGene00022127	yop-1	368	296	182	101	234	105	75	283	159	271	230	215	366	319	102	237	448
WBGene00022128	Y71F9B.6	8	9	9	7	6	5	3	10	7	11	11	8	12	8	9	6	13
WBGene00022129	lron-11	64	3	24	8	19	14	3	7	9	111	21	45	43	132	2	11	42
WBGene00022130	Y71F9B.9	59	0.3	5	6	8	5	5	3	5	32	9	27	5	25	3	5	4
WBGene00022131	Y71F9B.13	0.9	3	17	15	17	21	9	11	22	0.4	2	11	4	1	13	29	5
WBGene00022133	Y71F9B.15	0	0	0.1	0	0	0.1	0.4	0.2	0	0	0.2	0.1	0	0.1	1	0	0
WBGene00022134	Y71G10AL.1	21	27	17	19	19	16	10	41	17	36	24	20	73	47	24	15	59
WBGene00022138	trpp-10	10	6	7	8	5	7	3	10	4	9	1	10	2	8	9	3	7
WBGene00022139	tub-2	59	6	89	21	42	9	8	14	33	53	8	55	15	41	6	26	30
WBGene00022140	Y71G12A.4	0.2	0.7	0.4	1	0	1	2	2	0.1	0.1	1	0.4	2	0.3	3	0.2	1
WBGene00022141	chaf-2	10	42	6	19	9	15	12	58	12	13	39	12	57	34	30	12	88
WBGene00022142	Y71G12B.2	0	0	3	2	2	1	2	0.3	2	0	0.3	0.7	0	0.1	1	2	0
WBGene00022143	Y71G12B.3	0	0	0.2	0	0.1	5	11	5	0.1	0	0	0	0.3	0	7	0	0
WBGene00022144	pghm-1	16	2	245	96	184	38	19	21	292	2	3	37	2	2	10	214	4
WBGene00022145	Y71G12B.5	0.2	0.2	0.4	0	0.1	0.2	0.3	0.1	0	0.1	0.4	0.6	0.7	0.3	0.3	0	1
WBGene00022146	Y71G12B.6	66	3	1	59	13	62	9	7	8	114	124	31	44	135	11	7	21
WBGene00022147	Y71G12B.7	0	0	0.2	0.1	0	0.5	0	0	0	0.1	0.6	0.2	0.1	0.6	0	0	0
WBGene00022148	Y71G12B.8	15	12	13	15	15	22	9	18	16	21	5	12	17	26	21	18	20
WBGene00022149	lin-65	17	26	18	14	12	12	4	40	12	18	6	13	20	20	20	10	59
WBGene00022150	Y71G12B.10	9	26	13	22	12	27	17	28	10	10	13	10	18	11	30	10	20
WBGene00022152	atg-5	42	18	9	23	27	21	14	34	26	45	29	31	38	48	25	21	45
WBGene00022153	Y71G12B.13	19	12	10	13	9	9	6	20	10	29	19	16	31	32	19	13	33
WBGene00022154	drag-1	15	0.4	7	5	5	5	2	0.8	5	3	0.5	16	0.6	1	1	3	2
WBGene00022155	Y71G12B.17	14	0.2	2	22	15	11	15	1	3	2	5	17	3	2	4	2	3
WBGene00022156	Y71G12B.18	2	0	0.3	0.1	0	3	21	0	0.1	0.4	0.2	1	0.6	0.4	0.5	0	0.8
WBGene00022157	Y71G12B.22	0	0	1	0	0	0.8	2	1	0.1	0	0.1	0.5	0	0	4	0.1	0.4
WBGene00022158	Y71G12B.23	29	4	10	12	5	5	4	4	7	16	16	19	7	15	3	7	9
WBGene00022159	mppa-1	12	5	3	24	9	31	15	15	6	10	7	10	9	11	26	8	7
WBGene00022160	Y71G12B.25	344	0.3	23	158	46	41	66	7	27	51	8	226	10	20	5	22	25
WBGene00022161	Y71G12B.26	2	0	1	2	2	3	0.7	1	0.8	0.4	0.5	3	1	0.5	1	1	1
WBGene00022162	Y71G12B.27	0	0	0	0	0.1	5	8	5	0	0	0.2	0	0	0	28	0	0
WBGene00022163	Y71G12B.28	0.1	0	0.2	0	0.1	0.1	0.3	0.4	0.3	0	3	0.5	2	1	0.4	0.1	0.6
WBGene00022165	Y71H2AL.2	4	0	4	3	5	3	3	1	6	7	0.9	4	1	4	2	4	1
WBGene00022166	Y71H2AM.1	18	7	12	13	24	21	11	15	46	19	9	15	18	20	18	27	15
WBGene00022167	Y71H2AM.2	39	39	135	29	28	14	12	52	30	51	19	34	36	46	48	23	48
WBGene00022168	Y71H2AM.3	11	16	17	9	8	12	5	22	8	12	3	9	11	11	21	8	16
WBGene00022169	Y71H2AM.4	90	57	47	176	78	137	122	124	55	81	464	82	227	76	103	77	186
WBGene00022170	Y71H2AM.5	368	128	18	594	422	508	547	395	264	362	2239	350	1135	450	395	266	492
WBGene00022171	Y71H2AM.6	10	5	6	10	8	9	5	8	6	9	45	5	14	14	7	5	13
WBGene00022172	cosa-1	2	5	1	1	3	4	4	13	4	1	0.4	3	1	1	14	2	4
WBGene00022173	set-27	35	5	4	27	5	27	8	6	5	27	1	29	5	13	11	6	4
WBGene00022174	Y71H2AM.9	7	15	3	12	13	14	7	22	8	6	1	7	5	5	21	8	11
WBGene00022175	Y71H2AM.10	2	1	18	7	9	4	2	1	6	0.6	0	8	0.5	0.6	1	7	2
WBGene00022176	Y71H2AM.11	28	14	14	33	29	50	23	26	23	27	13	26	26	28	29	16	28
WBGene00022177	Y71H2AM.12	0	2	3	0.7	3	3	3	3	1	0.1	0.6	0.5	0.3	0.2	5	0.7	0.8
WBGene00022178	Y71H2AM.13	19	3	105	26	71	27	20	17	42	30	3	12	7	24	23	35	8
WBGene00022179	Y71H2AM.14	13	0.2	4	3	1	3	2	0.2	0.9	8	0.1	6	0.4	4	1	1	0.5
WBGene00022180	Y71H2AM.15	64	0.2	10	26	8	10	5	0.9	5	44	1	78	2	19	1	7	12
WBGene00022181	pho-9	3	0.3	30	5	4	5	5	8	5	2	1	4	1	2	3	4	1
WBGene00022182	swsn-3	46	21	22	21	9	13	7	31	14	74	22	35	62	85	24	10	31
WBGene00022185	Y71H2AM.20	41	20	50	24	35	22	13	35	43	39	50	28	46	44	27	28	83
WBGene00022188	Y71H2AR.1	72	25	17	44	28	66	52	41	28	55	29	50	57	51	49	24	33
WBGene00022189	Y71H2AR.2	0	0.4	0.2	0	6	0	0.1	0	1	0	0.1	0.2	0	0.1	0	0.8	0.1
WBGene00022190	josd-1	9	3	5	3	7	4	2	3	6	10	7	7	12	13	4	5	6
WBGene00022191	Y71H2B.1	19	1	8	6	6	5	7	4	10	13	1	17	2	8	8	9	2
WBGene00022192	Y71H2B.2	27	36	17	16	20	22	16	35	26	30	23	26	35	35	33	20	67
WBGene00022193	ppfr-4	12	17	8	6	14	7	7	24	14	14	23	11	26	15	18	13	25
WBGene00022194	Y71H2B.4	13	0.6	9	12	277	73	110	143	201	19	4	16	3	10	59	135	4
WBGene00022195	Y71H2B.5	6	5	2	5	6	8	4	9	7	6	3	6	7	7	8	6	9
WBGene00022196	gpa-17	31	0.4	35	24	13	19	12	3	13	11	0.6	26	2	4	4	10	2
WBGene00022197	Y71H2B.8	28	2	15	6	3	3	5	1	3	20	5	43	9	12	4	3	4
WBGene00022198	Y71H2B.11	5	0.5	4	3	7	5	1	3	16	7	3	5	3	7	7	8	1
WBGene00022199	pfk-1.1	10	14	47	39	61	35	13	31	34	10	2	30	5	8	20	30	22
WBGene00022200	fard-1	10	0.2	64	17	4	17	11	5	2	11	2	14	3	10	23	10	2
WBGene00022201	Y71H10B.1	60	6	49	45	30	56	27	34	14	26	5	54	17	20	38	30	28
WBGene00022202	Y72A10A.1	33	0	26	31	89	11	6	1	32	6	0.2	42	0.7	2	4	21	1
WBGene00022203	Y73B3A.1	11	25	3	2	3	4	1	32	4	6	3	6	12	5	8	4	24
WBGene00022204	Y73B3A.2	0.5	0.3	8	1	2	0.7	1	0.8	4	0.5	0.8	1	0.4	0.9	0.9	0.8	1
WBGene00022205	Y73B3A.3	3	0.4	2	1	2	0.9	0.8	1	2	2	0.7	3	2	3	1	2	2
WBGene00022206	Y73B3A.4	3	4	3	2	2	1	0.5	4	2	4	1	3	6	5	4	2	6
WBGene00022207	elk-2	0	0	0.1	0	0	0	0	0	0	0	0	0.2	0	0.1	0.1	0	0
WBGene00022209	Y73B3A.7	0	0	0	0	0.9	0.2	0.1	0	0.7	0	0	0.3	0	0	0	0.5	0
WBGene00022210	Y73B3A.8	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0.5	0	0	0
WBGene00022211	Y73B3A.9	13	0.2	10	4	7	7	2	6	7	16	2	10	3	13	7	5	4
WBGene00022212	Y73B3A.10	6	0.1	6	4	3	5	1	6	3	5	0.8	4	3	7	6	3	2
WBGene00022213	Y73B3A.11	0	0	0.6	0.6	0	0	0.1	0.1	0.2	0	0.4	0.7	0	0	0	0	0.2
WBGene00022214	cal-6	0	0	0.4	0.2	0.3	0.5	0	0.2	0.1	0	0	0.4	0	0	0.2	0.1	0
WBGene00022215	Y73B3A.13	0.1	0	0.2	0	0.4	0.2	0	0.1	0.2	0	0	0.5	0	0.1	0.3	0.2	0.2
WBGene00022216	fbxa-16	2	0	0	0.1	0	0	0.2	0	0	1	5	3	5	5	0	0	1
WBGene00022217	fbxa-221	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0
WBGene00022218	Y73B3A.16	0.2	0	0.1	0	0	0	0	0.2	0	0	0.1	0.6	0	0.1	0	0.2	0
WBGene00022219	Y73B3A.18	6	1	7	3	7	11	7	6	9	7	7	6	6	6	6	12	6
WBGene00022221	Y73B3A.20	2	0	4	3	3	5	1	3	2	1	0.4	2	2	1	3	2	2
WBGene00022222	Y73B3A.21	0.2	0.2	0.2	0.5	0.7	0.6	0.3	1	0.7	0.3	0.1	0.6	0.5	0.6	1	0.4	0.6
WBGene00022223	Y73B3B.1	0	0	0.8	0.1	0.1	0.2	0.2	0.2	0.4	0	0.1	0.4	0.3	0.2	0.3	0.1	0.3
WBGene00022224	set-28	0	0	0.4	0	0.5	0	0	0.1	2	0	0	0.4	0.1	0	0.6	0.5	0.3
WBGene00022225	Y73B3B.3	0	0	0	0	0.1	0	0	0	0	0	1	0.2	0	0	0	0	0
WBGene00022227	Y73B3B.5	1	0.1	5	2	2	2	0.9	1	3	0.9	0.5	2	0.6	2	2	2	1
WBGene00022228	Y73B6A.1	0.7	0	0.9	1	0.4	1	0.8	0.2	0.2	0.3	0.2	1	0.1	0.1	1	0	0.4
WBGene00022229	Y73B6A.2	0	0	2	0.2	0.2	0.6	1	0	1	0	0.2	0.3	0.3	0.1	0.6	2	0
WBGene00022230	Y73B6A.3	0	0	8	23	2	7	3	0.7	0.5	0	0.8	0.5	0	0.2	2	0.9	0
WBGene00022231	tyr-6	0.3	0.2	10	20	24	12	7	3	7	0.5	0.1	5	0.1	0.8	5	4	0.8
WBGene00022232	exos-2	15	21	4	11	10	16	6	31	11	28	22	15	27	37	24	11	29
WBGene00022233	Y73B6BL.4	25	19	30	15	12	17	10	26	20	22	3	27	10	20	24	13	16
WBGene00022235	sqd-1	425	168	541	494	376	428	171	284	732	406	328	393	355	649	230	631	342
WBGene00022236	Y73B6BL.12	0	1	0.4	0	0.6	0.7	0.1	2	0.2	0.6	0.1	0.4	2	0.4	2	0.6	2
WBGene00022237	Y73B6BL.14	2	3	2	0.1	0.7	0.2	0.9	3	0.9	0.8	1	1	3	0.6	4	1	2
WBGene00022240	shl-1	4	0	20	8	15	5	2	0.5	9	0.6	0.1	11	0	0.4	2	6	1
WBGene00022242	sfrp-1	68	0.4	16	14	6	6	2	1	4	51	16	42	13	32	2	7	11
WBGene00022243	Y73B6BL.22	0	0	2	0.1	0.3	2	0.9	0.2	0.3	0	0	0.9	0	0.6	0.5	0.5	0
WBGene00022244	Y73B6BL.23	12	44	6	3	6	14	11	55	12	8	4	11	8	4	47	7	54
WBGene00022245	acp-6	0.6	3	71	31	53	360	60	169	34	2	7	3	14	11	254	33	6
WBGene00022246	acp-7	0.5	0	5	2	4	3	2	3	4	0.2	0.2	0.9	0	0.1	8	3	0
WBGene00022247	lgc-10	0.4	0.7	2	3	6	2	0.9	0.4	6	0.1	0.5	2	1	0.5	1	4	1
WBGene00022248	Y73B6BL.27	285	10	19	58	37	27	11	27	28	316	413	165	294	273	17	25	71
WBGene00022249	Y73B6BL.28	0	0	0.1	0.2	0.1	0	0	0	0.2	0	0	0	0	0	0	0	0
WBGene00022250	Y73B6BL.29	12	5	7	8	8	7	2	7	7	11	9	15	11	13	9	5	7
WBGene00022251	blos-2	44	14	18	31	31	23	21	36	29	52	32	39	43	42	39	26	50
WBGene00022252	Y73B6BL.31	3	0.6	14	13	9	16	8	6	5	1	0.4	5	2	0.8	12	6	2
WBGene00022253	hrpf-2	26	45	7	24	14	23	8	67	17	38	12	21	39	46	30	11	36
WBGene00022254	Y73B6BL.35	4	0	23	38	49	10	6	4	48	0	0.1	10	0.3	0	4	59	0.3
WBGene00022255	Y73B6BL.36	5	0	5	1	4	0.9	0.7	0.3	1	19	54	5	38	21	1	2	7
WBGene00022256	Y73B6BL.37	0	0	0	0	0.3	0.2	0.3	0.5	0.1	0	0.1	0.1	0	0	0.3	0	0
WBGene00022257	puf-11	17	117	2	3	4	7	12	273	4	5	2	11	4	2	128	3	52
WBGene00022258	Y73C8B.1	6	1	2	13	3	4	4	2	1	9	3	8	10	14	2	2	9
WBGene00022259	Y73C8B.2	12	7	4	8	3	9	4	4	4	23	13	8	16	28	4	3	14
WBGene00022260	Y73C8B.3	20	3	4	13	8	15	19	4	3	29	27	10	29	29	12	4	12
WBGene00022261	clec-210	0	0	0	4	0.2	2	2	0.3	0	0	0.1	0.3	0.6	0.1	1	0	0.1
WBGene00022262	Y73C8C.3	0.2	0.9	0.1	0	0	0	0	1	0	0.3	0.6	0.6	6	0.6	0.4	0	9
WBGene00022263	Y73C8C.4	1	0	0.2	0.4	1	0.5	0.5	0	1	0.9	0.1	1	0	0.1	0.3	0.4	0
WBGene00022264	sdz-34	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0
WBGene00022265	Y73C8C.8	0.3	1	0.1	0	0	0	0.1	2	0	0.4	1	0.9	14	0.9	0.5	0	13
WBGene00022266	srt-56	0	0	0.1	0	0	0	0	0	0.2	0	0.2	0	0	0	0	0.1	0
WBGene00022267	Y73C8C.10	0	0	0.1	0.7	0.5	0.1	0.1	0	0.1	0	0.1	0.2	0	0.2	0.2	0	0.2
WBGene00022268	Y73E7A.1	15	17	13	20	15	26	23	40	17	14	86	13	52	17	33	18	30
WBGene00022269	Y73E7A.2	10	6	15	9	8	9	4	8	12	10	4	8	12	13	11	16	10
WBGene00022270	Y73E7A.3	6	0.9	5	7	4	8	4	2	5	5	0.9	7	2	6	4	8	3
WBGene00022271	cpx-1	2	0.2	52	13	45	10	5	3	31	0.1	0.1	15	0.8	0.3	3	24	2
WBGene00022272	Y73E7A.5	0.9	0	0.4	0	0.1	0.5	0.7	0.1	0.7	0.5	1	0.6	2	1	0.5	0.1	0.5
WBGene00022273	Y73E7A.6	18	19	13	13	13	23	13	35	11	19	24	15	48	23	22	15	45
WBGene00022274	Y73E7A.8	106	0.1	1	41	0.7	22	2	0.2	0.4	12	0.4	36	0.3	2	0.6	0.2	3
WBGene00022275	Y74C9A.1	0.2	0	2	0.1	0.9	0.3	0.7	0.3	1	0.4	0.8	0.8	1	0.6	0.5	1	1
WBGene00022276	nlp-40	13	3	76	142	63	138	53	73	58	3	5	21	14	2	80	58	4
WBGene00022277	homt-1	12	5	22	15	15	15	8	18	17	26	112	11	87	53	18	17	41
WBGene00022278	rcor-1	20	23	25	10	12	11	4	32	18	21	3	15	14	26	28	10	29
WBGene00022279	sesn-1	35	3	30	20	27	22	7	9	27	28	3	39	7	21	14	22	9
WBGene00022280	Y74C10AL.2	108	19	20	29	56	32	18	37	48	94	193	65	96	101	26	50	97
WBGene00022281	abtm-1	18	12	18	23	9	19	10	13	10	17	4	19	13	18	18	14	22
WBGene00022282	Y74C10AR.2	0	0	0.7	0.6	0.1	0.4	2	2	0	0	2	0.3	3	0.2	1	0.3	2
WBGene00022283	lgc-27	137	0	5	78	24	22	14	1	8	111	7	138	6	45	2	7	12
WBGene00022284	glb-33	3	0.4	23	15	8	5	2	2	6	2	1	7	3	4	2	5	3
WBGene00022285	Y75B7AL.2	10	0	4	2	2	2	0.7	0.3	3	6	0.5	7	0.7	3	0.8	2	2
WBGene00022286	rga-4	15	30	11	12	13	11	5	65	11	21	10	21	31	28	14	13	51
WBGene00022287	Y75B7AR.1	32	0	1	261	9	41	39	2	3	2	1	51	2	2	1	2	2
WBGene00022288	Y75B7B.1	3	0.2	2	1	0.6	2	2	1	0.9	2	0.8	2	0.6	2	3	0.9	0.5
WBGene00022289	Y75B7B.2	0	0	0.8	0.4	1	2	2	0.4	0.4	0	0	1	0	0	1	0.2	0
WBGene00022290	Y75D11A.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00022291	Y75D11A.2	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0
WBGene00022292	Y75D11A.3	2	13	0	0	0	0	0.3	14	0	1	0.8	3	3	0.8	8	0	19
WBGene00022295	cng-2	2	0	4	0.9	1	0.2	0.5	0.2	1	0.6	0.2	5	0.4	0.3	0.3	1	0.9
WBGene00022296	xpc-1	4	15	6	5	7	5	4	22	7	5	0.6	6	4	6	13	3	8
WBGene00022297	Y76B12C.3	47	17	22	44	30	56	36	26	33	79	215	38	141	106	36	32	80
WBGene00022298	Y76B12C.4	0.3	2	0.1	0.1	0.2	1	2	2	0.4	0.1	0.6	1	3	0.4	4	0.2	3
WBGene00022300	Y76B12C.6	20	32	11	8	7	7	4	38	5	20	5	15	21	19	18	6	41
WBGene00022301	cpsf-1	14	10	6	13	8	15	4	18	9	20	3	12	14	27	12	7	19
WBGene00022302	Y76B12C.8	2	1	2	12	61	12	15	11	50	1	23	5	59	2	6	55	14
WBGene00022303	Y76B12C.9	0.3	0.1	10	2	0.6	2	1	0.4	1	0	0.1	1	0.3	0	0.8	0.5	0.6
WBGene00022306	Y77E11A.1	64	10	82	34	40	36	15	29	31	54	13	69	25	60	24	22	37
WBGene00022307	Y77E11A.2	21	0.5	30	22	57	18	12	18	47	12	9	21	16	12	10	37	9
WBGene00022308	Y77E11A.3	0.4	0	1	0	0.2	0	0.2	0.2	0	0	0.1	0.9	0	0.1	0	0	0.2
WBGene00022309	rpc-11	9	6	3	12	25	12	20	20	11	15	33	14	40	18	19	28	34
WBGene00022310	Y77E11A.7	29	23	14	13	15	12	7	46	15	38	17	22	41	53	23	11	82
WBGene00022311	Y77E11A.8	0.4	0.4	0	0	0	0.2	0	0.2	0	0.5	1	1	3	2	0	0	2
WBGene00022312	clec-171	0.2	0	0	0	0	0	0	0.5	0	0.7	2	1	4	3	0	0	3
WBGene00022313	Y77E11A.12	4	0.1	6	3	31	3	3	0.9	21	4	0.8	5	0.9	3	2	9	1
WBGene00022314	Y77E11A.14	7	0.3	10	9	11	6	18	3	7	6	7	11	4	6	2	5	4
WBGene00022315	Y81B9A.1	0	0.1	0.1	0	0	0.1	0	0	0	0	0.1	0.2	0	0	0	0	0
WBGene00022316	Y81B9A.2	0	0	0.9	0	0	0	0.3	0.1	0	0.1	2	0.4	6	0.8	0	0	2
WBGene00022317	Y81B9A.3	0	0	0.2	0	0.1	0	0	0.2	0.9	0	0	0	0.4	0.4	0	1	0
WBGene00022318	Y82E9BL.1	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0
WBGene00022319	Y82E9BL.2	0	0	0	0	0	0	0	0.4	0	0	4	0.6	23	0.7	0	0	4
WBGene00022320	Y82E9BL.3	0	0	0.6	0.1	0	0	0	0.5	0	0.2	9	0.6	34	0.7	0	0	5
WBGene00022321	fbxa-25	0	0	0.6	0.6	0.1	0.2	0.3	0.1	0.3	0	0.1	0.1	0	0	0.5	0	0
WBGene00022322	Y82E9BL.5	0	0.5	0	0	0	0	0	0.3	0	0	2	0.4	12	0.4	0.1	0	4
WBGene00022323	Y82E9BL.6	0.2	0	0	0	0	0	0	0.5	0	0.2	8	0.7	22	2	0.1	0	13
WBGene00022324	fbxa-26	0.1	0	4	1	2	4	1	0.8	2	0	0	0	0	0.1	2	2	0
WBGene00022325	fbxa-5	0.7	0	4	2	0.2	1	1	0.2	1	0.4	0	0.7	0.1	0.4	0.6	0.8	0
WBGene00022326	fbxa-14	1	0	3	3	0.1	5	2	0.9	0.1	1	0.8	2	2	2	2	3	0.7
WBGene00022327	fbxa-15	0	0	3	1	0	0.5	0.4	0.2	0	0.4	0.1	0.9	0.7	1	0.5	0.2	0.2
WBGene00022328	Y82E9BL.12	0.1	0	2	0	0	0.2	0	0.1	0	0	0.1	0.7	0	0.1	0	0	0
WBGene00022329	fbxa-79	5	0	5	5	3	5	2	2	2	2	0	6	0.1	0.9	3	2	1
WBGene00022330	fbxa-80	2	0	3	3	0.2	3	2	0.9	0.1	0.8	0.2	2	0.5	0.4	2	0.9	0.9
WBGene00022331	fbxa-19	4	0	1	3	0.8	4	3	1	0.3	3	0.5	6	2	0.8	2	3	2
WBGene00022332	fbxa-20	0.4	0	1	0.5	0.1	0.3	0.8	0.1	0.1	0.3	0.5	0.6	0.5	0.1	0.5	0.1	0.3
WBGene00022333	fbxa-27	0.3	0	0.2	0.7	2	3	2	0.4	3	0.6	0.2	0.5	0.7	0.3	1	2	0.2
WBGene00022334	Y82E9BR.1	3	0.4	0.5	0.2	0.6	0.4	0.4	2	0.6	16	20	5	40	33	0.8	0.1	19
WBGene00022335	Y82E9BR.2	2	1	2	2	2	8	4	9	3	2	0.8	3	4	2	8	2	6
WBGene00022336	Y82E9BR.3	812	668	414	1642	1095	2180	3618	2374	1392	577	1839	765	3483	538	1117	1347	3616
WBGene00022337	Y82E9BR.4	1	0	3	3	2	4	3	0.7	2	3	1	2	3	2	2	2	0.7
WBGene00022338	Y82E9BR.5	4	0	2	1	3	2	0.4	0.2	3	0	0	2	0.2	0.2	1	2	0
WBGene00022339	Y82E9BR.6	10	0	30	7	19	0.3	1	0.3	33	14	5	12	10	10	0	33	1
WBGene00022340	Y82E9BR.7	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0.1
WBGene00022341	Y82E9BR.8	0	0	0	0	0	0	0	0	0	0	0	0.1	0.1	0.1	0	0	0.3
WBGene00022342	Y82E9BR.9	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0
WBGene00022343	Y82E9BR.10	0.3	0	0	0	0	0.3	0.1	0	0	0	1	0.5	0.4	0.1	0	0	0
WBGene00022344	Y82E9BR.11	0	0	0.2	0	0.2	0.1	0.2	0	0	0.1	0.5	0.9	0.2	0.1	0.1	0	1
WBGene00022345	fbxa-138	0	0	1	0.3	0.4	0.4	0.4	0.2	0.2	0	0.1	0.4	0	0.3	0.4	0.3	0.3
WBGene00022346	Y82E9BR.13	6	0.2	4	7	14	11	4	1	16	5	1	6	4	3	5	12	0.7
WBGene00022347	Y82E9BR.14	42	6	56	31	20	36	22	24	26	54	29	33	31	54	26	24	16
WBGene00022348	Y82E9BR.16	12	21	22	16	26	27	11	41	19	17	14	13	27	24	23	21	32
WBGene00022349	Y82E9BR.17	17	0	1	0.7	0.4	0.2	0.4	6	0.3	81	246	27	257	252	0.4	0.1	81
WBGene00022350	Y82E9BR.18	6	9	3	7	5	12	5	15	6	5	0.8	6	3	5	13	6	11
WBGene00022351	Y82E9BR.19	4	7	6	5	5	9	4	20	6	4	2	4	3	4	21	4	8
WBGene00022352	Y82E9BR.20	9	0.1	1	0.4	0.5	0.2	0.6	0.1	0.3	8	3	4	2	6	0.3	0.1	1
WBGene00022353	Y82E9BR.21	14	0.3	22	8	6	5	4	0.8	12	11	1	13	2	8	2	7	0.6
WBGene00022354	Y82E9BR.22	77	17	16	81	102	59	91	144	161	75	1229	88	244	110	54	144	142
WBGene00022356	eak-3	0	0	4	0.1	1	0	0.1	0	2	0	0	2	0	0.2	0	0.9	0.4
WBGene00022357	kbp-4	17	69	0.7	11	14	10	13	180	7	33	901	18	538	107	38	6	132
WBGene00022358	Y92H12A.2	9	4	32	18	39	15	8	10	26	7	2	16	3	8	8	21	6
WBGene00022360	Y92H12A.4	7	17	6	10	6	11	4	21	8	11	1	7	5	12	15	5	14
